record_date,region,site,team,manager_name,shift,employee_id,scheduled_start_ts,actual_start_ts,is_late,adherence_minutes,total_tasks,completed_tasks,utilization_rate,tenure_band,cohort
2026-06-13,West,SEA1,Outbound,Manager B,Night,E7912,2026-06-13T06:00:00,2026-06-13T06:03:00,0,3,53,48,0.907,0-3 months,New Hire
2026-01-24,Central,SEA2,Support,Manager A,Night,E1106,2026-01-24T08:00:00,2026-01-24T08:03:00,0,3,109,93,0.73,3-12 months,Experienced
2026-03-29,West,SEA2,Outbound,Manager A,Morning,E8527,2026-03-29T14:00:00,2026-03-29T14:07:00,1,7,85,81,0.791,0-3 months,Experienced
2026-01-21,West,ATL1,Support,Manager B,Afternoon,E2654,2026-01-21T14:00:00,2026-01-21T13:52:00,0,-8,69,65,0.944,3+ years,Experienced
2026-04-27,East,SEA2,Outbound,Manager B,Afternoon,E5010,2026-04-27T14:00:00,2026-04-27T14:03:00,0,3,49,44,0.618,3-12 months,Experienced
2026-04-08,Central,ATL1,Support,Manager C,Morning,E5386,2026-04-08T14:00:00,2026-04-08T13:52:00,0,-8,69,65,0.872,0-3 months,New Hire
2026-05-26,East,SEA2,Outbound,Manager D,Night,E9830,2026-05-26T14:00:00,2026-05-26T14:02:00,0,2,98,77,0.606,1-3 years,Experienced
2026-05-30,East,PHX1,Inbound,Manager D,Morning,E7916,2026-05-30T22:00:00,2026-05-30T22:04:00,1,4,54,42,0.614,0-3 months,Experienced
2026-04-08,Central,ATL1,Support,Manager A,Afternoon,E2827,2026-04-08T22:00:00,2026-04-08T21:53:00,0,-7,108,101,0.857,1-3 years,Experienced
2026-02-10,Central,SEA1,Support,Manager C,Night,E9317,2026-02-10T22:00:00,2026-02-10T21:54:00,0,-6,104,101,0.898,3-12 months,New Hire
2026-04-06,Central,ATL1,Inbound,Manager C,Night,E4923,2026-04-06T08:00:00,2026-04-06T07:53:00,0,-7,86,83,0.883,0-3 months,New Hire
2026-05-26,East,SEA1,Outbound,Manager A,Night,E3705,2026-05-26T06:00:00,2026-05-26T06:00:00,0,0,56,43,0.74,1-3 years,Experienced
2026-02-24,Central,PHX1,Support,Manager C,Afternoon,E1344,2026-02-24T08:00:00,2026-02-24T08:00:00,0,0,97,75,0.64,3-12 months,New Hire
2026-01-02,West,SEA1,Inbound,Manager A,Morning,E9834,2026-01-02T06:00:00,2026-01-02T05:53:00,0,-7,105,84,0.818,3-12 months,Experienced
2026-03-04,West,DAL1,Inbound,Manager A,Morning,E2612,2026-03-04T22:00:00,2026-03-04T21:57:00,0,-3,94,80,0.896,0-3 months,Experienced
2026-03-28,West,SEA2,Inbound,Manager D,Morning,E8260,2026-03-28T06:00:00,2026-03-28T06:12:00,1,12,75,64,0.9,0-3 months,New Hire
2026-06-16,West,SEA1,Inbound,Manager D,Morning,E7396,2026-06-16T06:00:00,2026-06-16T05:55:00,0,-5,91,88,0.616,1-3 years,Experienced
2026-03-15,East,ATL1,Support,Manager D,Night,E1998,2026-03-15T22:00:00,2026-03-15T22:19:00,1,19,67,66,0.782,1-3 years,New Hire
2026-01-13,West,ATL1,Inbound,Manager A,Night,E7615,2026-01-13T22:00:00,2026-01-13T21:53:00,0,-7,63,48,0.577,0-3 months,New Hire
2026-05-29,East,ATL1,Outbound,Manager C,Morning,E5915,2026-05-29T06:00:00,2026-05-29T05:55:00,0,-5,80,64,0.708,3+ years,Experienced
2026-01-19,West,DAL1,Support,Manager A,Night,E5002,2026-01-19T06:00:00,2026-01-19T06:14:00,1,14,104,84,0.923,1-3 years,Experienced
2026-02-10,West,ATL1,Outbound,Manager A,Night,E5333,2026-02-10T22:00:00,2026-02-10T22:00:00,0,0,78,76,0.591,0-3 months,New Hire
2026-05-22,West,PHX1,Support,Manager B,Afternoon,E2512,2026-05-22T08:00:00,2026-05-22T07:55:00,0,-5,73,63,0.65,3+ years,Experienced
2026-01-12,West,PHX1,Support,Manager C,Morning,E2232,2026-01-12T06:00:00,2026-01-12T06:29:00,1,29,110,101,0.774,3-12 months,New Hire
2026-04-05,West,DAL1,Inbound,Manager C,Morning,E6794,2026-04-05T08:00:00,2026-04-05T07:52:00,0,-8,85,68,0.65,3+ years,New Hire
2026-03-02,West,SEA2,Inbound,Manager B,Afternoon,E5371,2026-03-02T08:00:00,2026-03-02T07:57:00,0,-3,92,87,0.896,3-12 months,New Hire
2026-04-08,Central,DAL1,Inbound,Manager D,Morning,E5564,2026-04-08T06:00:00,2026-04-08T05:55:00,0,-5,68,51,0.627,0-3 months,Experienced
2026-03-31,West,ATL1,Inbound,Manager A,Afternoon,E2776,2026-03-31T22:00:00,2026-03-31T21:56:00,0,-4,62,55,0.943,3+ years,Experienced
2026-03-22,East,ATL1,Inbound,Manager D,Night,E9821,2026-03-22T22:00:00,2026-03-22T21:55:00,0,-5,72,54,0.724,3-12 months,Experienced
2026-04-21,Central,PHX1,Outbound,Manager A,Night,E5844,2026-04-21T06:00:00,2026-04-21T05:56:00,0,-4,104,86,0.713,3-12 months,New Hire
2026-04-18,East,SEA2,Support,Manager C,Night,E6279,2026-04-18T22:00:00,2026-04-18T21:52:00,0,-8,78,64,0.722,3+ years,Experienced
2026-04-24,West,ATL1,Support,Manager B,Afternoon,E4848,2026-04-24T08:00:00,2026-04-24T07:56:00,0,-4,105,96,0.798,1-3 years,New Hire
2026-02-20,West,SEA1,Inbound,Manager D,Morning,E7291,2026-02-20T08:00:00,2026-02-20T07:53:00,0,-7,98,83,0.802,3+ years,Experienced
2026-03-04,West,SEA1,Outbound,Manager B,Morning,E8478,2026-03-04T08:00:00,2026-03-04T08:34:00,1,34,99,75,0.65,3-12 months,Experienced
2026-06-20,Central,DAL1,Support,Manager D,Night,E8373,2026-06-20T14:00:00,2026-06-20T14:00:00,0,0,97,94,0.847,1-3 years,New Hire
2026-06-13,East,ATL1,Support,Manager B,Afternoon,E2320,2026-06-13T14:00:00,2026-06-13T13:53:00,0,-7,76,61,0.684,3-12 months,New Hire
2026-03-01,Central,SEA2,Inbound,Manager A,Night,E7381,2026-03-01T22:00:00,2026-03-01T21:57:00,0,-3,109,94,0.575,0-3 months,Experienced
2026-05-03,Central,PHX1,Outbound,Manager D,Afternoon,E4595,2026-05-03T06:00:00,2026-05-03T06:03:00,0,3,109,103,0.909,1-3 years,Experienced
2026-05-05,Central,DAL1,Support,Manager D,Afternoon,E1444,2026-05-05T06:00:00,2026-05-05T05:59:00,0,-1,56,55,0.764,0-3 months,Experienced
2026-02-04,Central,SEA2,Outbound,Manager D,Morning,E7906,2026-02-04T22:00:00,2026-02-04T21:59:00,0,-1,81,67,0.902,1-3 years,New Hire
2026-05-01,West,ATL1,Outbound,Manager B,Morning,E1333,2026-05-01T06:00:00,2026-05-01T06:02:00,0,2,45,42,0.93,3-12 months,New Hire
2026-02-02,East,SEA1,Inbound,Manager D,Night,E2876,2026-02-02T22:00:00,2026-02-02T21:57:00,0,-3,61,54,0.935,3-12 months,Experienced
