plan_week,region,node_type,origin_node,destination_node,lane_id,ship_method,forecasted_packages,actual_packages,planned_capacity,available_capacity,capacity_utilization,volume_variance,forecast_error_pct,cost_per_package,on_time_delivery_rate,missed_promise_units,backlog_units,labor_hours,trailer_count
2026-01-05,Central,Delivery Station,DFW7,IAH3,DFW7-IAH3,Ground,105376,119611,108122,-11489,1.1063,14235,0.1351,1.5,0.9272,6771,14656,9693,89
2026-01-05,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Air,82037,71119,89207,18088,0.7972,-10918,-0.1331,2.2,0.956,3001,696,4785,54
2026-01-05,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,78597,81185,80560,-625,1.0078,2588,0.0329,1.49,0.9439,3348,2771,5331,54
2026-01-05,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,91025,84363,112895,28532,0.7473,-6662,-0.0732,1.37,0.9727,2252,1640,5570,49
2026-01-05,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,60856,65072,72329,7257,0.8997,4216,0.0693,1.54,0.9623,2064,2128,5876,49
2026-01-05,Central,Fulfillment Center,IND9,ORD3,IND9-ORD3,Same-Day,20442,21181,25355,4174,0.8354,739,0.0362,2.36,0.9357,1479,2045,1633,15
2026-01-05,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Air,45510,48412,48578,166,0.9966,2902,0.0638,1.91,0.9399,3285,756,4250,29
2026-01-05,Central,Sort Center,IND9,ORD3,IND9-ORD3,Same-Day,47370,44179,54385,10206,0.8123,-3191,-0.0674,2.12,0.9758,1143,566,2862,26
2026-01-05,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Ground,69417,66691,71403,4712,0.934,-2726,-0.0393,1.2,0.949,3266,1679,4370,46
2026-01-05,Central,Fulfillment Center,MSP2,ORD3,MSP2-ORD3,Ground,115501,132703,128860,-3843,1.0298,17202,0.1489,1.47,0.9701,2858,4250,12677,99
2026-01-05,Central,Fulfillment Center,MSP2,ORD3,MSP2-ORD3,Linehaul,116077,99720,136344,36624,0.7314,-16357,-0.1409,1.17,0.9644,2711,2604,6523,60
2026-01-05,Central,Delivery Station,MSP2,ORD3,MSP2-ORD3,Air,26112,23156,29874,6718,0.7751,-2956,-0.1132,2.3,0.9433,1365,2351,1689,13
2026-01-05,Central,Delivery Station,MSP2,ORD3,MSP2-ORD3,Ground,87731,79094,104085,24991,0.7599,-8637,-0.0984,1.26,0.9783,1941,187,7328,54
2026-01-05,Central,Delivery Station,MSP2,ORD3,MSP2-ORD3,Ground,85544,84351,85974,1623,0.9811,-1193,-0.0139,1.53,0.9351,5593,289,5756,47
2026-01-05,Central,Fulfillment Center,MSP2,ORD3,MSP2-ORD3,Ground,121727,124067,129899,5832,0.9551,2340,0.0192,1.23,0.9553,4006,104,10029,100
2026-01-05,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,53221,59319,59600,281,0.9953,6098,0.1146,1.43,0.9698,1734,612,5044,37
2026-01-05,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,118742,120104,113104,-7000,1.0619,1362,0.0115,1.36,0.9631,3925,9990,10024,70
2026-01-05,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Linehaul,85277,81031,95181,14150,0.8513,-4246,-0.0498,1.21,0.9584,3090,1614,5822,45
2026-01-05,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,44165,42145,52316,10171,0.8056,-2020,-0.0457,1.47,0.9382,2284,1477,2934,27
2026-01-05,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Air,73659,74680,87355,12675,0.8549,1021,0.0139,2.18,0.9448,4898,1443,6183,48
2026-01-05,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Ground,33495,40353,38896,-1457,1.0375,6858,0.2047,1.41,0.9616,1193,2112,2603,26
2026-01-05,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Air,52795,51964,61895,9931,0.8396,-831,-0.0157,1.83,0.9542,2665,409,3410,40
